customer_id,age,gender,tenure,monthly_charges,total_charges,contract_type,payment_method,calls_made,data_used_gb,international_calls,customer_support_calls,churn
1,56,Female,52,47.57,4148.45,One Year,Credit Card,127,45.87,7,6,1
2,69,Female,12,25.1,1120.88,Month-to-Month,Mailed Check,195,7.26,7,9,0
3,46,Male,48,111.21,2000.77,Month-to-Month,Bank Transfer,369,31.13,7,6,1
4,32,Male,22,108.32,3240.1,Month-to-Month,Credit Card,75,16.67,6,5,0
5,60,Male,49,117.08,4386.38,Month-to-Month,Bank Transfer,246,7.06,5,5,0
6,25,Male,52,91.65,3336.3,One Year,Bank Transfer,193,20.26,7,5,0
7,78,Male,1,88.27,4211.21,One Year,Credit Card,126,21.97,6,1,1
8,38,Female,66,75.9,2422.35,Month-to-Month,Bank Transfer,363,18.81,0,9,0
9,56,Male,64,32.59,3614.79,Month-to-Month,Bank Transfer,250,38.52,5,6,0
10,75,Male,8,38.92,4901.91,Two Year,Electronic Check,352,42.12,7,3,0
11,36,Male,25,48.95,852.09,Month-to-Month,Mailed Check,376,8.29,4,1,0
12,40,Male,66,109.02,4641.91,One Year,Bank Transfer,172,9.23,5,8,0
13,28,Male,70,37.3,2659.58,Month-to-Month,Electronic Check,227,21.64,1,6,1
14,28,Female,51,112.29,3251.77,One Year,Electronic Check,351,16.69,1,5,0
15,41,Male,53,72.28,4401.56,Month-to-Month,Mailed Check,57,41.16,1,4,0
16,70,Male,15,91.56,2107.31,Month-to-Month,Electronic Check,51,49.84,5,9,0
17,53,Male,50,31.02,2151.59,Month-to-Month,Electronic Check,195,9.87,4,2,0
18,57,Female,71,46.9,2683.19,One Year,Bank Transfer,85,38.36,5,0,0
19,41,Female,38,115.85,193.6,Month-to-Month,Mailed Check,137,30.76,5,4,0
20,20,Male,40,46.61,2533.66,One Year,Mailed Check,168,32.58,3,3,0
21,39,Male,66,49.65,1526.33,Month-to-Month,Bank Transfer,91,13.96,6,8,1
22,70,Female,39,39.76,4646.98,Month-to-Month,Credit Card,188,5.76,8,5,0
23,19,Female,17,32.91,529.9,One Year,Electronic Check,108,27.62,6,6,1
24,41,Female,7,43.33,2350.67,Month-to-Month,Bank Transfer,229,31.06,5,2,0
25,61,Male,39,84.23,4742.59,Month-to-Month,Electronic Check,251,48.19,2,6,1
26,47,Male,68,65.54,4515.07,Month-to-Month,Mailed Check,270,34.09,5,8,0
27,55,Female,35,75.38,3536.61,Two Year,Mailed Check,98,22.74,7,8,0
28,19,Male,51,32.24,2987.87,Month-to-Month,Electronic Check,289,49.71,7,8,1
29,77,Female,47,100.21,1475.58,Month-to-Month,Mailed Check,177,19.29,3,0,0
30,38,Female,36,98.41,1898.09,Month-to-Month,Mailed Check,379,8.97,4,0,1
31,50,Female,64,22.16,541.66,Month-to-Month,Credit Card,335,31.28,3,1,0
32,29,Male,13,58.35,3951.93,Month-to-Month,Mailed Check,77,14.05,1,7,0
33,75,Female,18,26.88,1686.96,One Year,Mailed Check,142,46.19,4,7,0
34,39,Female,21,99.21,3372.13,Month-to-Month,Electronic Check,228,21.97,0,0,0
35,78,Male,65,93.73,1852.21,One Year,Bank Transfer,266,8.33,1,5,0
36,61,Female,8,110.2,2375.22,Month-to-Month,Mailed Check,76,7.94,6,9,0
37,42,Male,48,43.64,2819.51,Two Year,Mailed Check,176,32.83,4,2,0
38,66,Female,43,65.63,4029.08,Two Year,Bank Transfer,147,18.93,9,0,0
39,44,Male,53,38.45,1134.67,Month-to-Month,Bank Transfer,357,18.82,7,4,0
40,76,Female,27,57.12,2053.95,Month-to-Month,Bank Transfer,349,31,5,1,0
41,59,Female,19,72.22,737.4,One Year,Electronic Check,97,11.85,7,5,0
42,45,Female,23,25.33,471.23,Month-to-Month,Mailed Check,321,8.13,1,3,0
43,77,Female,50,91.49,3062.9,Month-to-Month,Mailed Check,237,33.21,7,7,0
44,33,Female,51,74.33,1026.55,Two Year,Bank Transfer,352,1.26,8,0,0
45,32,Male,43,102.9,393.02,Month-to-Month,Credit Card,159,45.46,7,6,0
46,79,Male,51,47.18,4495.78,Month-to-Month,Electronic Check,380,9.97,6,9,0
47,79,Female,69,110.33,2718.14,One Year,Bank Transfer,64,22.94,7,5,1
48,64,Female,41,119.87,759.68,Month-to-Month,Bank Transfer,151,11.36,1,8,0
49,79,Female,11,111.93,361.79,Month-to-Month,Mailed Check,143,11.69,5,3,1
50,68,Male,52,97.79,687.31,Month-to-Month,Credit Card,233,41.92,6,5,0
51,61,Male,23,101.24,2409.55,Month-to-Month,Electronic Check,268,29.67,8,6,0
52,72,Female,49,77.37,3375.48,Two Year,Credit Card,178,16.26,2,7,1
53,69,Male,38,39.02,3242.27,Two Year,Credit Card,202,13.3,5,9,0
54,74,Female,47,87.7,807.67,Month-to-Month,Mailed Check,369,11.43,7,6,1
55,20,Female,7,91.28,3204.1,One Year,Bank Transfer,141,28.17,3,6,0
56,54,Female,66,118.54,2083.84,Month-to-Month,Bank Transfer,92,36.81,4,5,0
57,68,Male,62,74.13,2377.24,One Year,Credit Card,319,13.42,1,5,0
